origen,destino,salida_utc,llegada_utc,capacidad,asignado,residual
"OMDB","OOMS","2025-09-15T14:40:00Z","2025-09-15T16:08:00Z",320,0,320
"OOMS","OMDB","2025-09-15T14:42:00Z","2025-09-15T16:10:00Z",320,0,320
"EHAM","EDDI","2025-09-15T14:49:00Z","2025-09-15T16:35:00Z",360,0,360
"SABE","SUAA","2025-09-15T14:26:00Z","2025-09-15T16:39:00Z",340,0,340
"OSDI","OJAI","2025-09-15T14:25:00Z","2025-09-15T16:43:00Z",320,0,320
"LKPR","EDDI","2025-09-15T14:27:00Z","2025-09-15T16:44:00Z",340,0,340
"EDDI","LATI","2025-09-15T14:23:00Z","2025-09-15T17:01:00Z",360,0,360
"EKCH","LDZA","2025-09-15T14:38:00Z","2025-09-15T17:04:00Z",340,0,340
"SGAS","SUAA","2025-09-15T14:52:00Z","2025-09-15T17:07:00Z",300,0,300
"OJAI","OERK","2025-09-15T14:29:00Z","2025-09-15T17:09:00Z",360,0,360
"EHAM","EBCI","2025-09-15T15:57:00Z","2025-09-15T17:13:00Z",320,0,320
"LATI","LOWW","2025-09-15T14:18:00Z","2025-09-15T17:19:00Z",300,0,300
"LBSF","LATI","2025-09-15T15:59:00Z","2025-09-15T17:25:00Z",360,0,360
"LOWW","LATI","2025-09-15T14:24:00Z","2025-09-15T17:25:00Z",360,0,360
"SBBR","SGAS","2025-09-15T14:36:00Z","2025-09-15T17:31:00Z",300,0,300
"LDZA","LBSF","2025-09-15T15:45:00Z","2025-09-15T17:34:00Z",340,0,340
"UBBB","OSDI","2025-09-15T14:43:00Z","2025-09-15T17:34:00Z",360,0,360
"LATI","UMMS","2025-09-15T14:43:00Z","2025-09-15T17:35:00Z",340,0,340
"EDDI","EKCH","2025-09-15T15:11:00Z","2025-09-15T17:36:00Z",320,0,320
"OPKC","OAKB","2025-09-15T14:15:00Z","2025-09-15T17:40:00Z",360,0,360
"SPIM","SLLP","2025-09-15T14:22:00Z","2025-09-15T17:42:00Z",320,0,320
"LOWW","UMMS","2025-09-15T14:28:00Z","2025-09-15T17:44:00Z",340,0,340
"EDDI","LKPR","2025-09-15T15:32:00Z","2025-09-15T17:49:00Z",340,0,340
"VIDP","OAKB","2025-09-15T14:33:00Z","2025-09-15T17:49:00Z",300,0,300
"SGAS","SABE","2025-09-15T14:37:00Z","2025-09-15T17:52:00Z",340,0,340
"OMDB","OPKC","2025-09-15T14:21:00Z","2025-09-15T17:53:00Z",360,0,360
"LOWW","LKPR","2025-09-15T15:35:00Z","2025-09-15T17:55:00Z",340,0,340
"OJAI","OERK","2025-09-15T15:20:00Z","2025-09-15T18:00:00Z",320,0,320
"SLLP","SUAA","2025-09-15T14:13:00Z","2025-09-15T18:09:00Z",360,0,360
"OSDI","OERK","2025-09-15T15:26:00Z","2025-09-15T18:11:00Z",320,0,320
"LKPR","LOWW","2025-09-15T16:52:00Z","2025-09-15T18:12:00Z",340,0,340
"SLLP","SPIM","2025-09-15T15:54:00Z","2025-09-15T18:14:00Z",300,0,300
"LOWW","LBSF","2025-09-15T15:16:00Z","2025-09-15T18:21:00Z",360,0,360
"LBSF","EKCH","2025-09-15T14:18:00Z","2025-09-15T18:22:00Z",360,0,360
"OMDB","VIDP","2025-09-15T14:38:00Z","2025-09-15T18:24:00Z",360,0,360
"LOWW","EDDI","2025-09-15T16:51:00Z","2025-09-15T18:28:00Z",320,0,320
"EBCI","LKPR","2025-09-15T16:38:00Z","2025-09-15T18:31:00Z",320,0,320
"OERK","OJAI","2025-09-15T15:52:00Z","2025-09-15T18:32:00Z",320,0,320
"OMDB","OERK","2025-09-15T15:23:00Z","2025-09-15T18:32:00Z",300,0,300
"LDZA","EBCI","2025-09-15T15:23:00Z","2025-09-15T18:42:00Z",300,0,300
"OAKB","VIDP","2025-09-15T15:26:00Z","2025-09-15T18:42:00Z",340,0,340
"OPKC","OMDB","2025-09-15T15:17:00Z","2025-09-15T18:49:00Z",340,0,340
"LDZA","LOWW","2025-09-15T16:29:00Z","2025-09-15T18:54:00Z",300,0,300
"LDZA","OJAI","2025-09-15T14:07:00Z","2025-09-15T18:58:00Z",300,0,300
"EKCH","LDZA","2025-09-15T16:35:00Z","2025-09-15T19:01:00Z",360,0,360
"OAKB","UBBB","2025-09-15T15:48:00Z","2025-09-15T19:04:00Z",300,0,300
"LKPR","UMMS","2025-09-15T16:52:00Z","2025-09-15T19:09:00Z",300,0,300
"SEQM","SPIM","2025-09-15T16:32:00Z","2025-09-15T19:13:00Z",320,0,320
"SABE","SBBR","2025-09-15T15:15:00Z","2025-09-15T19:14:00Z",320,0,320
"EKCH","EBCI","2025-09-15T17:19:00Z","2025-09-15T19:17:00Z",300,0,300
"LDZA","UMMS","2025-09-15T16:44:00Z","2025-09-15T19:17:00Z",340,0,340
"SVMI","SLLP","2025-09-15T14:42:00Z","2025-09-15T19:20:00Z",340,0,340
"SVMI","SPIM","2025-09-15T14:55:00Z","2025-09-15T19:21:00Z",340,0,340
"EKCH","EDDI","2025-09-15T17:02:00Z","2025-09-15T19:27:00Z",300,0,300
"LKPR","LATI","2025-09-15T16:08:00Z","2025-09-15T19:29:00Z",320,0,320
"OJAI","OYSN","2025-09-15T15:58:00Z","2025-09-15T19:29:00Z",320,0,320
"OSDI","LBSF","2025-09-15T16:36:00Z","2025-09-15T19:30:00Z",320,0,320
"EBCI","LATI","2025-09-15T16:39:00Z","2025-09-15T19:34:00Z",360,292,68
"LATI","OSDI","2025-09-15T15:23:00Z","2025-09-15T19:34:00Z",360,0,360
"UMMS","EBCI","2025-09-15T15:27:00Z","2025-09-15T19:34:00Z",320,0,320
"OERK","VIDP","2025-09-15T14:40:00Z","2025-09-15T19:35:00Z",320,0,320
"LKPR","EHAM","2025-09-15T17:41:00Z","2025-09-15T19:36:00Z",300,0,300
"OYSN","OPKC","2025-09-15T14:23:00Z","2025-09-15T19:39:00Z",340,0,340
"SEQM","SVMI","2025-09-15T15:31:00Z","2025-09-15T19:41:00Z",360,0,360
"OSDI","OPKC","2025-09-15T14:47:00Z","2025-09-15T19:46:00Z",360,0,360
"EBCI","EHAM","2025-09-15T17:32:00Z","2025-09-15T19:48:00Z",340,340,0
"LOWW","OSDI","2025-09-15T15:50:00Z","2025-09-15T19:48:00Z",340,0,340
"LOWW","EKCH","2025-09-15T16:49:00Z","2025-09-15T19:51:00Z",300,0,300
"EHAM","LOWW","2025-09-15T16:40:00Z","2025-09-15T19:52:00Z",340,0,340
"EDDI","LOWW","2025-09-15T17:17:00Z","2025-09-15T19:54:00Z",360,0,360
"UBBB","OOMS","2025-09-15T15:23:00Z","2025-09-15T19:56:00Z",340,107,233
"SLLP","SBBR","2025-09-15T15:07:00Z","2025-09-15T19:57:00Z",300,0,300
"UMMS","LDZA","2025-09-15T17:29:00Z","2025-09-15T20:02:00Z",320,0,320
"UBBB","EBCI","2025-09-15T14:26:00Z","2025-09-15T20:06:00Z",360,0,360
"EHAM","LATI","2025-09-15T16:02:00Z","2025-09-15T20:08:00Z",320,0,320
"OAKB","OERK","2025-09-15T15:01:00Z","2025-09-15T20:08:00Z",360,0,360
"OERK","LDZA","2025-09-15T14:39:00Z","2025-09-15T20:08:00Z",360,0,360
"LOWW","OERK","2025-09-15T14:26:00Z","2025-09-15T20:09:00Z",340,0,340
"SEQM","SLLP","2025-09-15T16:32:00Z","2025-09-15T20:09:00Z",320,0,320
"OYSN","OSDI","2025-09-15T16:29:00Z","2025-09-15T20:11:00Z",340,0,340
"UBBB","UMMS","2025-09-15T16:25:00Z","2025-09-15T20:11:00Z",340,0,340
"OYSN","VIDP","2025-09-15T14:35:00Z","2025-09-15T20:13:00Z",340,0,340
"LBSF","OSDI","2025-09-15T17:21:00Z","2025-09-15T20:15:00Z",320,0,320
"SCEL","SLLP","2025-09-15T16:53:00Z","2025-09-15T20:16:00Z",360,0,360
"VIDP","OOMS","2025-09-15T16:47:00Z","2025-09-15T20:16:00Z",320,0,320
"EDDI","EBCI","2025-09-15T18:28:00Z","2025-09-15T20:18:00Z",320,0,320
"UMMS","LOWW","2025-09-15T17:03:00Z","2025-09-15T20:19:00Z",320,0,320
"LDZA","EHAM","2025-09-15T17:52:00Z","2025-09-15T20:20:00Z",340,0,340
"OSDI","OMDB","2025-09-15T16:48:00Z","2025-09-15T20:22:00Z",340,0,340
"SCEL","SABE","2025-09-15T17:58:00Z","2025-09-15T20:22:00Z",360,0,360
"SBBR","SABE","2025-09-15T16:24:00Z","2025-09-15T20:23:00Z",320,0,320
"LKPR","UBBB","2025-09-15T15:40:00Z","2025-09-15T20:26:00Z",320,0,320
"OERK","LOWW","2025-09-15T14:43:00Z","2025-09-15T20:26:00Z",340,0,340
