Ventana 00 [2025-12-23T00:00 -> 2025-12-23T04:00] - 1075 pedidos
    id=882272 | destino=SVMI | fecha=2025-12-23 | hora=00:04
    id=882492 | destino=LKPR | fecha=2025-12-23 | hora=00:04
    id=882421 | destino=OPKC | fecha=2025-12-23 | hora=00:05
    id=882487 | destino=OAKB | fecha=2025-12-23 | hora=00:07
    id=881934 | destino=OMDB | fecha=2025-12-23 | hora=00:08
    id=882367 | destino=LATI | fecha=2025-12-23 | hora=00:08
    id=882250 | destino=EHAM | fecha=2025-12-23 | hora=00:09
    id=882518 | destino=EHAM | fecha=2025-12-23 | hora=00:08
    id=882429 | destino=LDZA | fecha=2025-12-23 | hora=00:09
    id=881948 | destino=SCEL | fecha=2025-12-23 | hora=00:10
    id=882022 | destino=LBSF | fecha=2025-12-23 | hora=00:10
    id=882502 | destino=SLLP | fecha=2025-12-23 | hora=00:10
    id=882513 | destino=LKPR | fecha=2025-12-23 | hora=00:10
    id=882488 | destino=SKBO | fecha=2025-12-23 | hora=00:11
    id=882525 | destino=SKBO | fecha=2025-12-23 | hora=00:09
    id=882521 | destino=SCEL | fecha=2025-12-23 | hora=00:11
    id=882434 | destino=SGAS | fecha=2025-12-23 | hora=00:12
    id=882447 | destino=OYSN | fecha=2025-12-23 | hora=00:12
    id=882467 | destino=SEQM | fecha=2025-12-23 | hora=00:12
    id=882530 | destino=SEQM | fecha=2025-12-23 | hora=00:08
    id=882531 | destino=SEQM | fecha=2025-12-23 | hora=00:10
    id=882527 | destino=SCEL | fecha=2025-12-23 | hora=00:12
    id=882529 | destino=OYSN | fecha=2025-12-23 | hora=00:12
    id=882199 | destino=OOMS | fecha=2025-12-23 | hora=00:13
    id=882480 | destino=EDDI | fecha=2025-12-23 | hora=00:13
    id=882516 | destino=OMDB | fecha=2025-12-23 | hora=00:13
    id=882517 | destino=LATI | fecha=2025-12-23 | hora=00:13
    id=882522 | destino=LBSF | fecha=2025-12-23 | hora=00:13
