PEDIDO #1 | UTC: 2025-12-15T02:00:14.527 | Dest: SCEL | Cant: 990 | Cliente: 7729
PEDIDO #2 | UTC: 2025-12-15T02:00:14.527 | Dest: SCEL | Cant: 990 | Cliente: 29194
PEDIDO #3 | UTC: 2025-12-15T02:00:14.527 | Dest: SCEL | Cant: 990 | Cliente: 28315
PEDIDO #4 | UTC: 2025-12-15T02:00:14.527 | Dest: SCEL | Cant: 990 | Cliente: 10563
PEDIDO #5 | UTC: 2025-12-15T02:00:14.527 | Dest: SCEL | Cant: 990 | Cliente: 29949
PEDIDO #6 | UTC: 2025-12-15T02:00:14.527 | Dest: SCEL | Cant: 990 | Cliente: 17890
PEDIDO #7 | UTC: 2025-12-15T02:00:14.527 | Dest: SCEL | Cant: 990 | Cliente: 31553
PEDIDO #8 | UTC: 2025-12-15T02:00:14.527 | Dest: SCEL | Cant: 990 | Cliente: 18092
PEDIDO #9 | UTC: 2025-12-15T02:00:14.527 | Dest: SCEL | Cant: 990 | Cliente: 19671
PEDIDO #10 | UTC: 2025-12-15T02:00:14.527 | Dest: SCEL | Cant: 990 | Cliente: 7729
PEDIDO #11 | UTC: 2025-12-15T02:00:14.527 | Dest: SCEL | Cant: 990 | Cliente: 7729
PEDIDO #12 | UTC: 2025-12-15T02:00:14.527 | Dest: SCEL | Cant: 990 | Cliente: 29194
PEDIDO #13 | UTC: 2025-12-15T02:00:14.527 | Dest: SCEL | Cant: 990 | Cliente: 28315
PEDIDO #14 | UTC: 2025-12-15T02:00:14.527 | Dest: SCEL | Cant: 990 | Cliente: 10563
PEDIDO #15 | UTC: 2025-12-15T02:00:14.527 | Dest: SCEL | Cant: 990 | Cliente: 29949
PEDIDO #16 | UTC: 2025-12-15T02:00:14.527 | Dest: SCEL | Cant: 990 | Cliente: 17890
PEDIDO #17 | UTC: 2025-12-15T02:00:14.527 | Dest: SCEL | Cant: 990 | Cliente: 31553
PEDIDO #18 | UTC: 2025-12-15T02:00:14.527 | Dest: SCEL | Cant: 990 | Cliente: 18092
PEDIDO #19 | UTC: 2025-12-15T02:00:14.527 | Dest: SCEL | Cant: 990 | Cliente: 19671
PEDIDO #20 | UTC: 2025-12-15T02:00:14.527 | Dest: SCEL | Cant: 990 | Cliente: 7729
