ID,Entregable,Nombre de la tarea,Duración,Fecha de inicio,Fecha de finalización,Predecesoras,Recursos asignados,Estado,% de avance
0.1,1.1 Inicio,Reunir interesados y levantar alcance preliminar,3 días,13/10/2025,15/10/2025,—,"Jefe de Proyecto (JP), Analista de Negocio (AN)",No iniciado,0%
0.2,1.1 Inicio,Redactar el Acta de Constitución del Proyecto,3 días,16/10/2025,20/10/2025,0.1,JP,No iniciado,0%
0.3,1.1 Inicio,Aprobar Acta de Constitución (patrocinador),2 días,21/10/2025,22/10/2025,0.2,"JP, Patrocinador",No iniciado,0%
1.1,1.2 Planificación,Plan para la dirección del proyecto,3 días,23/10/2025,27/10/2025,0.3,JP,No iniciado,0%
1.2,1.2 Planificación,Plan de gestión del alcance,2 días,28/10/2025,29/10/2025,1.1,"JP, AN",No iniciado,0%
1.3,1.2 Planificación,Plan de gestión del cronograma,2 días,30/10/2025,31/10/2025,1.1,JP,No iniciado,0%
1.4,1.2 Planificación,Plan de gestión de costos,2 días,03/11/2025,04/11/2025,1.1,JP,No iniciado,0%
1.5,1.2 Planificación,Plan de gestión de la calidad,2 días,05/11/2025,06/11/2025,1.1,"JP, QA",No iniciado,0%
1.6,1.2 Planificación,Plan de gestión de recursos,1 días,07/11/2025,07/11/2025,1.1,JP,No iniciado,0%
1.7,1.2 Planificación,Plan de gestión de las comunicaciones,1 días,10/11/2025,10/11/2025,1.1,JP,No iniciado,0%
1.8,1.2 Planificación,Plan de gestión de riesgos,2 días,11/11/2025,12/11/2025,1.1,JP,No iniciado,0%
1.9,1.2 Planificación,Plan de adquisiciones,1 días,13/11/2025,13/11/2025,1.1,JP,No iniciado,0%
1.10,1.2 Planificación,Plan de involucramiento de interesados,1 días,14/11/2025,14/11/2025,1.1,JP,No iniciado,0%
1.11,1.2 Planificación,Plan de gestión de cambios y configuración,1 días,17/11/2025,17/11/2025,1.1,"JP, DevOps",No iniciado,0%
1.12,1.2 Planificación,Plan de capacitación,1 días,18/11/2025,18/11/2025,1.1,JP,No iniciado,0%
1.13,1.2 Planificación,Documento de estimación de tamaño y esfuerzo,2 días,19/11/2025,20/11/2025,1.2-1.12,"JP, Arquitecto de Software (AS)",No iniciado,0%
2.1,1.3 Análisis y Diseño,"Product Backlog priorizado (épicas, historias, CAs)",4 días,21/11/2025,26/11/2025,1.13,"JP, AN",No iniciado,0%
2.2,1.3 Análisis y Diseño,Estándares GUI / Design System,3 días,27/11/2025,01/12/2025,2.1,UX/UI,No iniciado,0%
2.3,1.3 Análisis y Diseño,Prototipo navegable V1 (wireframes),5 días,02/12/2025,08/12/2025,2.2,UX/UI,No iniciado,0%
2.4,1.3 Análisis y Diseño,Prototipo navegable V2 (alta fidelidad),4 días,09/12/2025,12/12/2025,2.3,UX/UI,No iniciado,0%
2.5,1.3 Análisis y Diseño,Modelo de datos (ER lógico a físico),4 días,15/12/2025,18/12/2025,2.1,"AS, DBA",No iniciado,0%
2.6,1.3 Análisis y Diseño,Documento de arquitectura (modelo 4+1 o C4),4 días,19/12/2025,24/12/2025,"2.1,2.5",AS,No iniciado,0%
2.7,1.3 Análisis y Diseño,Contratos de API (OpenAPI) y eventos,2 días,25/12/2025,26/12/2025,2.6,"AS, DEV",No iniciado,0%
3.1,1.4 Construcción - Iteración 0,Roadmap y prioridad de módulos,2 días,29/12/2025,30/12/2025,2.7,"JP, Equipo",No iniciado,0%
3.2,1.4 Construcción - Iteración 0,Repos y CI/CD; entornos dev y test,3 días,31/12/2025,02/01/2026,3.1,DevOps,No iniciado,0%
3.3,1.4 Construcción - Iteración 0,Datos semilla y contratos de API v1 estabilizados,3 días,05/01/2026,07/01/2026,3.2,"AS, DEV, DBA",No iniciado,0%
3.4,1.4 Construcción - Iteración 0,Spikes PoC de riesgos técnicos,4 días,08/01/2026,13/01/2026,3.3,"AS, DEV",No iniciado,0%
4.1,1.4 Construcción - Iteración 1,Usuarios y Seguridad,5 días,14/01/2026,20/01/2026,3.4,DEV,No iniciado,0%
4.2,1.4 Construcción - Iteración 1,Catálogo y Disponibilidad (instalaciones/actividades base),7 días,21/01/2026,29/01/2026,4.1,"DEV, DBA",No iniciado,0%
4.3,1.4 Construcción - Iteración 1,Reservas y Tickets (sin pagos) + emails básicos,7 días,30/01/2026,09/02/2026,4.2,"DEV, QA",No iniciado,0%
4.4,1.4 Construcción - Iteración 1,Pruebas unitarias e integración E2E,3 días,10/02/2026,12/02/2026,4.3,"QA, DEV",No iniciado,0%
4.5,1.4 Construcción - Iteración 1,Despliegue a test y smoke test; UAT MVP,2 días,13/02/2026,16/02/2026,4.4,"DevOps, Cliente",No iniciado,0%
4.6,1.4 Construcción - Iteración 1,Documentación técnica y manual parcial,2 días,17/02/2026,18/02/2026,4.5,"DEV, JP",No iniciado,0%
5.1,1.4 Construcción - Iteración 2,Membresías (planes y beneficios),5 días,19/02/2026,25/02/2026,4.6,"DEV, DBA",No iniciado,0%
5.2,1.4 Construcción - Iteración 2,Pagos y Facturación (pasarela + webhooks),7 días,26/02/2026,06/03/2026,5.1,"DEV, DevOps",No iniciado,0%
5.3,1.4 Construcción - Iteración 2,Ajustes de checkout y descuentos por plan,3 días,09/03/2026,11/03/2026,5.2,DEV,No iniciado,0%
5.4,1.4 Construcción - Iteración 2,"Tests, UAT y documentación parcial",4 días,12/03/2026,17/03/2026,5.3,"QA, DEV, JP",No iniciado,0%
6.1,1.4 Construcción - Iteración 3,Reportes y panel de administración,6 días,18/03/2026,25/03/2026,5.4,"DEV, DBA",No iniciado,0%
6.2,1.4 Construcción - Iteración 3,Endurecimiento de seguridad y performance,4 días,26/03/2026,31/03/2026,6.1,"DEV, DevOps",No iniciado,0%
6.3,1.4 Construcción - Iteración 3,"Tests finales, UAT global y documentación",4 días,01/04/2026,06/04/2026,6.2,"QA, JP, DEV",No iniciado,0%
7.1,1.5 Cierre,Despliegue en producción (AWS) con plan de rollback,2 días,07/04/2026,08/04/2026,6.3,"DevOps, JP",No iniciado,0%
7.2,1.5 Cierre,Documentación técnica consolidada,3 días,09/04/2026,13/04/2026,6.3,"JP, AS, DEV",No iniciado,0%
7.3,1.5 Cierre,Manuales finales de usuario,2 días,14/04/2026,15/04/2026,6.3,JP,No iniciado,0%
7.4,1.5 Cierre,Registro de horas y resultados de capacitación,2 días,16/04/2026,17/04/2026,6.3,JP,No iniciado,0%
7.5,1.5 Cierre,Lecciones aprendidas y acta de cierre,2 días,20/04/2026,21/04/2026,7.1-7.4,"JP, Equipo",No iniciado,0%
